30-05-2014	13:16:38

Ensaios SCC:	


Nota 01:	


Data Table

============
Date-time	Pv1	Pc	Pv2	T1	Tc	T2	Pcin
30-05-2014-13:19:02	1,0686	-	1,0250	24,0861	24,3945	24,3434	1,0578
30-05-2014-13:19:03	1,0524	-	1,0142	24,0374	24,3945	24,2947	1,0578
30-05-2014-13:19:03	1,0578	-	1,0250	24,0536	24,3134	24,2947	1,0416
30-05-2014-13:19:04	1,0362	-	1,0359	24,0212	24,3296	24,2622	1,0416
30-05-2014-13:19:05	1,0362	-	1,0305	24,0212	24,4108	24,3109	1,0362
30-05-2014-13:19:05	1,0362	-	1,0413	24,0049	24,3458	24,3109	1,0362
30-05-2014-13:19:06	1,0308	-	1,0467	24,1023	24,4108	24,2460	1,0254
30-05-2014-13:19:06	1,0146	-	1,0413	24,0212	24,3458	24,3272	1,0254
30-05-2014-13:19:07	1,0254	-	1,0359	24,0374	24,3783	24,2622	1,0254
30-05-2014-13:19:07	1,0308	-	1,0250	24,1023	24,3620	24,2947	1,0254
30-05-2014-13:19:08	1,0146	-	1,0359	24,0698	24,3458	24,2785	1,0254
30-05-2014-13:19:09	1,0146	-	1,0359	24,0374	24,3783	24,2947	1,0254
30-05-2014-13:19:09	1,0038	-	1,0142	23,9887	24,4108	24,2785	0,9984
30-05-2014-13:19:10	1,0254	-	1,0359	24,0049	24,3620	24,2622	0,9984
30-05-2014-13:19:11	1,0092	-	1,0359	24,0861	24,3296	24,2622	1,0146
30-05-2014-13:19:11	0,9984	-	1,0359	24,0861	24,3134	24,1973	1,0146
30-05-2014-13:19:14	1,0092	-	1,0413	24,1185	24,4919	24,2622	1,0092
30-05-2014-13:19:16	1,5190	-	1,0305	24,0861	24,3296	24,2622	1,0038
30-05-2014-13:19:18	1,6041	-	1,0359	24,1185	24,4757	24,1973	1,5137
30-05-2014-13:19:20	1,6785	-	1,0250	24,1185	24,3620	24,2298	1,5935
30-05-2014-13:19:22	1,8900	-	1,0305	24,1023	24,4108	24,2460	1,6838
30-05-2014-13:19:24	2,0269	-	1,0359	24,1185	24,3296	24,1811	1,8953
30-05-2014-13:19:26	2,0217	-	1,0413	24,1510	24,3945	24,3109	2,0217
30-05-2014-13:19:26	1,7526	-	1,0359	24,1834	24,3783	24,2460	1,7685
30-05-2014-13:19:27	1,7473	-	1,0359	24,1834	24,4108	24,2947	1,7421
30-05-2014-13:19:27	1,7421	-	1,0413	24,0536	24,3783	24,2947	1,7421
30-05-2014-13:19:28	1,7368	-	1,0359	24,1834	24,4270	24,2622	1,7103
30-05-2014-13:19:29	1,7156	-	1,0305	24,1834	24,4270	24,2947	1,7103
30-05-2014-13:19:29	1,7209	-	1,0305	24,1023	24,3945	24,2947	1,7050
30-05-2014-13:19:30	1,6944	-	1,0305	24,1023	24,3458	24,3596	1,7050
30-05-2014-13:19:31	1,6891	-	1,0413	24,1834	24,4108	24,3434	1,7156
30-05-2014-13:19:31	1,7156	-	1,0413	24,1510	24,4270	24,2785	1,7156
30-05-2014-13:19:32	1,7103	-	1,0305	24,1023	24,4270	24,3109	1,7103
30-05-2014-13:19:32	1,7050	-	1,0250	24,0536	24,4432	24,2947	1,7103
30-05-2014-13:19:33	1,7103	-	1,0359	24,1672	24,3783	24,2785	1,7050
30-05-2014-13:19:33	1,6732	-	1,0467	24,1023	24,3945	24,2785	1,7050
30-05-2014-13:19:34	1,6944	-	1,0359	24,1023	24,3134	24,2947	1,7050
30-05-2014-13:19:35	1,6944	-	1,0359	24,0861	24,3620	24,3596	1,7050
30-05-2014-13:19:35	1,6944	-	1,0305	24,0212	24,3620	24,2785	1,6944
30-05-2014-13:19:36	1,6891	-	1,0359	24,1348	24,3945	24,1973	1,6944
30-05-2014-13:19:37	1,6944	-	1,0359	24,1185	24,3458	24,3272	1,6732
30-05-2014-13:19:37	1,6891	-	1,0305	24,0861	24,3783	24,3434	1,6732
30-05-2014-13:19:38	1,6785	-	1,0305	24,0861	24,3458	24,2785	1,6891
30-05-2014-13:19:38	1,6944	-	1,0305	24,0212	24,3783	24,2298	1,6891
30-05-2014-13:19:41	1,6891	-	1,0359	24,1185	24,3296	24,3109	1,6891
30-05-2014-13:19:43	1,9691	-	1,0305	24,0536	24,3134	24,3109	1,6891
30-05-2014-13:19:45	2,0532	-	1,0305	24,1023	24,3458	24,2785	1,9848
30-05-2014-13:19:47	2,0899	-	1,0250	24,0374	24,3783	24,2785	2,0322
30-05-2014-13:19:49	2,1686	-	1,0305	24,1023	24,3620	24,2460	2,0899
30-05-2014-13:19:51	2,3202	-	1,0250	24,1023	24,3783	24,2785	2,1790
30-05-2014-13:19:53	2,4296	-	1,0359	24,1023	24,3783	24,3109	2,3202
30-05-2014-13:19:55	2,5439	-	1,0359	24,0536	24,3945	24,2622	2,4400
